Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,8,8.08,7.86,7.96,767700,7.96
2012-06-28,8.09,8.59,8.05,8.31,1347300,8.31
2012-06-29,7.6,7.69,6.89,6.96,1951200,6.96
2012-07-03,6.6,6.66,6.45,6.52,1003000,6.52
2012-07-04,6.59,6.62,6.56,6.61,226100,6.61
2012-07-05,6.6,6.67,6.45,6.61,1421000,6.61
2012-07-06,6.95,7.05,6.88,7.03,1946600,7.03
2012-07-09,6.99,6.99,6.66,6.78,1028900,6.78
2012-07-10,6.79,7.09,6.78,7.04,1559700,7.04
2012-07-11,6.86,6.92,6.63,6.68,1451000,6.68
2012-07-12,6.89,6.97,6.65,6.73,903400,6.73
2012-07-13,6.66,6.66,6.47,6.53,538700,6.53
2012-07-16,6.49,6.57,6.34,6.36,552700,6.36
2012-07-17,6.24,6.48,6.2,6.27,1924200,6.27
2012-07-18,6.24,6.26,6.13,6.15,818100,6.15
2012-07-19,5.95,5.95,5.72,5.8,1404400,5.8
2012-07-20,5.97,6.01,5.87,5.94,804400,5.94
2012-07-23,6.33,6.41,6.18,6.35,1390400,6.35
2012-07-24,6.31,6.4,6.25,6.3,864600,6.3
2012-07-25,6.31,6.55,6.21,6.28,1290600,6.28
2012-07-26,6.12,6.24,6.07,6.2,508400,6.2
2012-07-27,6.16,6.2,6.05,6.1,618100,6.1
2012-07-30,6.12,6.2,6.08,6.18,339200,6.18
2012-07-31,6.18,6.47,6.16,6.46,699400,6.46
2012-08-01,6.31,6.39,6.18,6.27,986500,6.27
2012-08-02,6.48,6.53,6.32,6.48,1031500,6.48
2012-08-03,6.13,6.14,5.84,5.9,2471700,5.9
2012-08-07,5.7,5.73,5.49,5.62,1246600,5.62
2012-08-08,5.57,5.66,5.46,5.62,787900,5.62
2012-08-09,5.59,5.63,5.52,5.6,405300,5.6
2012-08-10,5.74,5.79,5.61,5.62,1053900,5.62
2012-08-13,5.58,5.76,5.57,5.69,1080600,5.69
2012-08-14,5.61,5.65,5.55,5.61,642600,5.61
2012-08-15,5.67,5.67,5.42,5.52,1311000,5.52
2012-08-16,5.47,5.51,5.34,5.39,1499300,5.39
2012-08-17,5.34,5.39,5.27,5.27,723600,5.27
2012-08-20,5.31,5.41,5.3,5.31,1041700,5.31
2012-08-21,5.17,5.27,5.13,5.26,1675500,5.26
2012-08-22,5.26,5.27,5.17,5.2,1029500,5.2
2012-08-23,5.16,5.35,5.13,5.31,1515600,5.31
2012-08-24,5.28,5.35,5.21,5.34,1033400,5.34
2012-08-27,5.4,5.5,5.37,5.37,1721100,5.37
2012-08-28,5.34,5.38,5.27,5.3,695400,5.3
2012-08-29,5.33,5.45,5.32,5.43,1199300,5.43
2012-08-30,5.43,5.56,5.41,5.47,1199500,5.47
2012-08-31,5.28,5.44,5.22,5.27,1108500,5.27
2012-09-04,5.25,5.42,5.25,5.38,1608600,5.38
2012-09-05,5.4,5.5,5.36,5.36,1173800,5.36
